1	47761740	51761740
1	125169943	125170022
1	144106678	144106709
1	181955019	181955047
2	85919365	100517106
2	87416141	87416186
2	87417804	87417863
2	87418924	87418981
2	89917298	89917322
2	135275091	135275210
2	182427027	189427029
2	207609786	207609808
3	47483505	49987563
3	83368158	86868160
5	44464140	51168409
5	129636407	132636409
6	25391792	33424245
6	26726947	26726981
6	57788603	58453888
6	61109122	61357029
6	61424410	61424451
6	139637169	142137170
7	54964812	66897578
7	62182500	62277073
8	8105067	12105082
8	43025699	48924888
8	47303500	47317337
8	110918594	113918595
9	40365644	40365693
9	64198500	64200392
9	88958735	88959017
10	36671065	43184546
10	41693521	41885273
11	88127183	91127184
12	32955798	41319931
12	34639034	34639084
14	87391719	87391996
14	94658026	94658080
17	43159541	43159574
20	4031884	4032441
20	33948532	36438183
22	30060084	30060162
22	42980497	42980522
